ID	forum	title
159	https://openreview.net/forum?id=upmQ6OsuSi	Contour Monte Carlo: Sampling via Energy Level Sets
161	https://openreview.net/forum?id=uejAinmUCG	Just Add More Capacitors: Eliminating Flux Leakage in Electrostatic Field Matching
162	https://openreview.net/forum?id=TjjGIhLxaM	Decision-Aware Training for Sample-Based Generative Models
163	https://openreview.net/forum?id=UJgqS2onKr	Learn from Your Mistakes: Self-Correcting Masked Diffusion Models
164	https://openreview.net/forum?id=0hjNAOrXwq	Hyperbolic Latent Geometry for Tree-Structured Prototype Networks: A Local-vs-Global Trade-off
165	https://openreview.net/forum?id=gz8i0l5LjL	Breaking the Factorization Barrier in Diffusion Language Models
166	https://openreview.net/forum?id=EsQq90sgqP	Structural Support Certificates for Graph-Query Inference in Mechanism Posteriors
167	https://openreview.net/forum?id=IZX17BZoNs	Electrostatic Models for Score Matching
168	https://openreview.net/forum?id=klLA8X54nF	Wasserstein Residuals: Learning Gradient Flows from Population Dynamics
169	https://openreview.net/forum?id=pbxaVs2MTt	Flow Matching on General Manifolds via Pulling Back Geodesic Convex Latent Manifolds
170	https://openreview.net/forum?id=2o3a4BWjWq	DUEL: Exact Likelihood for Masked Diffusion via Deterministic Unmasking
171	https://openreview.net/forum?id=VnnK7CYAx2	Noise Scheduling as Information-Guided Allocation in Diffusion Training
172	https://openreview.net/forum?id=YiOSR48qtl	SASC: Soft-Averaged Self-Consistency to Improve Chain-of-Thought Reasoning in Instruct-LLMs
173	https://openreview.net/forum?id=1NTfTT3SD7	Conditional Random Fields for Structured Representation Learning from Pretrained Features
174	https://openreview.net/forum?id=LCcj9SS9ez	Active Flow Expansion for Out-of-Distribution Discovery: from Theory to Molecules
175	https://openreview.net/forum?id=2KA0fyTjm9	Expanding Flow Maps
177	https://openreview.net/forum?id=jqsxOdmX88	Reward Score Matching: Unifying Reward-based Fine-tuning for Flow and Diffusion Models
178	https://openreview.net/forum?id=Q3maWATBCE	MIST: Mutual Information Estimation via Supervised Training
179	https://openreview.net/forum?id=HD0pWnSHmq	Provably Stable Neural Dynamics via Koopman Operator Certificates
180	https://openreview.net/forum?id=pAi4zpf5uc	Discrete Langevin-Inspired Posterior Sampling
181	https://openreview.net/forum?id=zJf5SIq74D	Efficient Edge-aware Attention Network for Graph Generation
182	https://openreview.net/forum?id=UWa4jEnHZo	Scalable Inference-Time Steering in Molecular Design with Multimodal Meta Flow Maps
183	https://openreview.net/forum?id=wt8N5gegq1	Plan, Don’t Pose: Long Composite Motion Generation with Text-Aligned BFM
184	https://openreview.net/forum?id=i9YSu3Ta5g	Implicit Neural Representations of Individual Behavior
185	https://openreview.net/forum?id=fQfnqdOAm9	LangFlow: Continuous Diffusion Rivals Discrete in Language Modeling
186	https://openreview.net/forum?id=52XyRK80Aj	Normalizing Trajectory Models
187	https://openreview.net/forum?id=2y9GGgCdoZ	Time-Correlated Video Bridge Matching
189	https://openreview.net/forum?id=ORzy2J2s8a	Measuring and Reducing Train--Inference Mismatch in Discrete Diffusion Language Models
190	https://openreview.net/forum?id=P1b6pr3632	Compositional Flow Matching with Factored Velocity Fields
191	https://openreview.net/forum?id=0tfUyAW8Vi	Holistic Latent Diffusion Acceleration: Unifying Spatial, Temporal, and Architectural Efficiency
192	https://openreview.net/forum?id=sxCxIp77bM	Nonparametric Distribution Matching for Self-Supervised Whole-Slide Image Condensation
194	https://openreview.net/forum?id=j24AR9cWtn	Learned Relay Representations for Forward-Thinking Discrete Diffusion Models
198	https://openreview.net/forum?id=GbLvncuryy	Factored Score Matching on Graphical Models: Exact Computation on Trees and Convergent Approximation  on Loopy Graphs
199	https://openreview.net/forum?id=qXCkLxpR6T	Bridging the Gap Between AI Predictions and Chemical Conventions: Template-Guided Reranking for Accurate Reagent Set Suggestion
200	https://openreview.net/forum?id=qWetQ0KqPV	The Confidence Shortcut: A Reasoning Failure Mode of Masked Diffusion Models
201	https://openreview.net/forum?id=XdSZKhq4nA	STARFlow2: Bridging Language Models and Normalizing Flows for Unified Multimodal Generation
202	https://openreview.net/forum?id=NoDdJLu43V	SpatialNP: Gridded Transformer Neural Processes for Probabilistic Spatial Proteomics in Multiplexed Tissue Imaging
203	https://openreview.net/forum?id=t7nLV4M3v4	Flash-SD-KDE: Accelerating SD-KDE with Tensor Cores
206	https://openreview.net/forum?id=XVgNeiUsRQ	When Inference-Time Reward Steering Hacks the Reward
209	https://openreview.net/forum?id=d9E8kj4GWB	Gene-Embedding Perturbation Operators for Zero-Shot and Transferable Prediction of Transcriptional Responses
211	https://openreview.net/forum?id=n5penvYg4j	ORBIT: Counterfactual Proposal Inference for Prompt-Free 3D Brain Tumor Segmentation
212	https://openreview.net/forum?id=yYHgJkXRDT	Federated Learning with Energy-Based Structured Probabilistic Inference
214	https://openreview.net/forum?id=8lPvrul1rs	Evolutionary Curriculum Learning for Biological Sequence Modeling
215	https://openreview.net/forum?id=v2FMrfaeDC	Understanding and Accelerating the Training of Masked Diffusion Language Models
216	https://openreview.net/forum?id=pdxEKvTsRq	Fast-dLLM++: Fr\'{e}chet Profile Decoding for Faster Diffusion LLM Inference
217	https://openreview.net/forum?id=8AUVYYO0o0	Uncertainty Estimation for Molecular Diffusion Models
218	https://openreview.net/forum?id=r3UVsj13Mr	Frontier Language Models Struggle to Copy: Text Can Be Better Viewed in 2D
219	https://openreview.net/forum?id=Mc9YqdFRF1	Effective Test-Time Scaling of Discrete Diffusion through Iterative Refinement
222	https://openreview.net/forum?id=8XZHtmslYa	Internal Data Repetition Destroys Language Models
223	https://openreview.net/forum?id=3LFHyVKPoq	Kernel-Gradient Drifting Models
224	https://openreview.net/forum?id=n8bQJs1dip	Probabilistic Sequence Generation Guided by Intensity-Duration Extreme Profiles
225	https://openreview.net/forum?id=cEtHdNwl8s	Scale Dependent Data Duplication
226	https://openreview.net/forum?id=mfdTHHRIid	Few-Step Boltzmann Generators via Scalable Likelihood Flow Maps
227	https://openreview.net/forum?id=XGfYe7EFMo	Inter-Trajectory Importance Sampling Improves Diffusion Samplers
229	https://openreview.net/forum?id=H5J9zbBlHX	DualDrift: Combining Forward and Reverse Drifts for One-Step Generative Modeling
231	https://openreview.net/forum?id=9E9IxTg2ix	SALSA: State Augmentation via Learned Selective Attention
232	https://openreview.net/forum?id=Sjxy9y5qVi	TUBE: Tangent Upper Bound on Evidence for Discrete Diffusion Language Models
234	https://openreview.net/forum?id=tEBiaXboS6	Categorical Drifting Models
235	https://openreview.net/forum?id=jRPdGi83MI	TILT: Test-Time Reward Alignment via Distribution Tilting for Compositional Generation
238	https://openreview.net/forum?id=LwHuqdidzW	Context-Aware Neural SDEs for Robust Irregular Time-Series Classification
239	https://openreview.net/forum?id=K6IYPazpyb	Learning path splines via Acceleration Matching
240	https://openreview.net/forum?id=uSNXZp77PH	Tensor-Train Joint Modeling for Few-Step Discrete Diffusion
242	https://openreview.net/forum?id=eZnWJnCZCH	Compositional Energy-Based Inference-Time Scaling for Multi-Scale Microstructure Generation
243	https://openreview.net/forum?id=oLz7D5ErBy	Contrastive Distribution Matching for Amortized Sequential Monte Carlo in Discrete Diffusion
244	https://openreview.net/forum?id=8f7UnTP6Fm	Order-Agnostic Decoding for Sample-Efficient RNA Inverse Folding
245	https://openreview.net/forum?id=wN4OQHqMoZ	Inverse-Confidence Sampling for Continuous Diffusion Language Models
246	https://openreview.net/forum?id=jemRKrKhzb	Learning to Shift Numeric Predictive Densities for Uncertainty-Aware LLM Agents
248	https://openreview.net/forum?id=e5pnWhr4Jz	Irregularities of Latent Space Geometry in Diffusion Models
251	https://openreview.net/forum?id=vuf1MpXfXX	Extracting Local Manifold Geometry from Pretrained Diffusion Models in One Inverse Step
254	https://openreview.net/forum?id=TzjukvMlCo	Federated Sampling of Molecular Conformers via Compositional Flows
256	https://openreview.net/forum?id=0Mxjyu5xKp	Position: Multi-Agent LLM Simulation as Approximate Posterior Inference Demands a Probabilistic Calibration Standard
257	https://openreview.net/forum?id=ztR6eMOX5L	Position: Benchmark Method-Comparisons Are Posterior Identifiability Problems
258	https://openreview.net/forum?id=e6TlEmOE3j	Self-Supervised Variational Priors for Robust Bayesian Inference
259	https://openreview.net/forum?id=kdjJWEI7rv	How to Train Your Latent Diffusion Language Model Jointly With the Latent Space
260	https://openreview.net/forum?id=PAXTQ66pH4	Gaussian Particle Flows for Unsupervised Topology Optimization
261	https://openreview.net/forum?id=qtExLgWlHZ	Leveraging Generative Mode-Seeking for Precision Matrix Estimation
262	https://openreview.net/forum?id=tiFsyANbEP	Single-Step Initialization for Exploratory Parallel Rollouts in Diffusion LLMs
263	https://openreview.net/forum?id=bIbzIkFt5U	Readout Times Are Not Solver Nodes: A Two-Mesh API for Generative ODE Surrogates
264	https://openreview.net/forum?id=ccTEfwwTmI	BIRDGen: Multimodal Conditional Inference of Latent Unbiased Species Distributions
265	https://openreview.net/forum?id=VU8qYkAHT2	Reward-Aligning Few-Step Flow Models with Integrated Regularizers
267	https://openreview.net/forum?id=2GEZRpZbEo	Conditional Inference Mismatch in Structured Diffusion Language Models
268	https://openreview.net/forum?id=8fiwPeCmrQ	Fisher-constrained flow matching for transferable free energy estimation
269	https://openreview.net/forum?id=Xxqv7dTdTY	A Unified View of Score-Based and Drifting Models
270	https://openreview.net/forum?id=VQqYaQYpHR	Generative Modeling via Kernelized Stochastic Interpolants
